"","genre_id","genre"
"1",0,"Drama"
"2",1,"Crime"
"3",2,"Action"
"4",3,"Biography"
"5",4,"History"
"6",5,"Adventure"
"7",6,"Western"
"8",7,"Romance"
"9",8,"Sci-Fi"
"10",9,"Fantasy"
"11",10,"Mystery"
"12",11,"Family"
"13",12,"Thriller"
"14",13,"War"
"15",14,"Comedy"
"16",15,"Animation"
"17",16,"Music"
"18",17,"Horror"
"19",18,"Film-Noir"
"20",19,"Musical"
"21",20,"Sport"
