"","movie_id","writer_id"
"1","tt0111161","0"
"2","tt0111161","1"
"3","tt0068646","2"
"4","tt0068646","3"
"5","tt0468569","4"
"6","tt0468569","5"
"7","tt0468569","6"
"8","tt0071562","3"
"9","tt0071562","2"
"10","tt0050083","7"
"11","tt0108052","8"
"12","tt0108052","9"
"13","tt0167260","10"
"14","tt0167260","11"
"15","tt0167260","12"
"16","tt0110912","13"
"17","tt0110912","14"
"18","tt0120737","10"
"19","tt0120737","11"
"20","tt0120737","12"
"21","tt0060196","15"
"22","tt0060196","16"
"23","tt0060196","17"
"24","tt0109830","18"
"25","tt0109830","19"
"26","tt0137523","20"
"27","tt0137523","21"
"28","tt0167261","10"
"29","tt0167261","11"
"30","tt0167261","12"
"31","tt1375666","5"
"32","tt0080684","22"
"33","tt0080684","23"
"34","tt0080684","24"
"35","tt0133093","25"
"36","tt0133093","26"
"37","tt0099685","27"
"38","tt0099685","28"
"39","tt0073486","29"
"40","tt0073486","30"
"41","tt0073486","31"
"42","tt0114369","32"
"43","tt0047478","33"
"44","tt0047478","34"
"45","tt0047478","35"
"46","tt0038650","36"
"47","tt0038650","37"
"48","tt0038650","38"
"49","tt0102926","39"
"50","tt0102926","40"
"51","tt0120815","41"
"52","tt0317248","42"
"53","tt0317248","43"
"54","tt0816692","4"
"55","tt0816692","5"
"56","tt0118799","44"
"57","tt0118799","45"
"58","tt0120689","0"
"59","tt0120689","1"
"60","tt0076759","24"
"61","tt0103064","46"
"62","tt0103064","47"
"63","tt0088763","48"
"64","tt0088763","49"
"65","tt0245429","50"
"66","tt0253474","51"
"67","tt0253474","52"
"68","tt0054215","53"
"69","tt0054215","54"
"70","tt6751668","55"
"71","tt6751668","56"
"72","tt0110413","57"
"73","tt0110357","58"
"74","tt0110357","59"
"75","tt0110357","60"
"76","tt0172495","61"
"77","tt0172495","62"
"78","tt0172495","63"
"79","tt0120586","64"
"80","tt0407887","65"
"81","tt0407887","66"
"82","tt0407887","67"
"83","tt0114814","68"
"84","tt0482571","4"
"85","tt0482571","5"
"86","tt0482571","69"
"87","tt2582802","70"
"88","tt0034583","71"
"89","tt0034583","72"
"90","tt0034583","73"
"91","tt0095327","74"
"92","tt0095327","75"
"93","tt0056058","76"
"94","tt0056058","34"
"95","tt1675434","77"
"96","tt1675434","78"
"97","tt1675434","79"
"98","tt0027977","80"
"99","tt0064116","81"
"100","tt0064116","16"
"101","tt0064116","82"
"102","tt0095765","83"
"103","tt0095765","84"
"104","tt0047396","85"
"105","tt0047396","86"
"106","tt0078748","87"
"107","tt0078748","88"
"108","tt0021749","80"
"109","tt0021749","89"
"110","tt0021749","90"
"111","tt0078788","91"
"112","tt0078788","3"
"113","tt0078788","92"
"114","tt0209144","5"
"115","tt0209144","4"
"116","tt1853728","13"
"117","tt0082971","23"
"118","tt0082971","24"
"119","tt0082971","93"
"120","tt0910970","94"
"121","tt0910970","95"
"122","tt0910970","96"
"123","tt0405094","97"
"124","tt0043014","98"
"125","tt0043014","99"
"126","tt0043014","100"
"127","tt0050825","101"
"128","tt0050825","102"
"129","tt0050825","103"
"130","tt0081505","0"
"131","tt0081505","101"
"132","tt0081505","104"
"133","tt0032553","80"
"134","tt4154756","105"
"135","tt4154756","106"
"136","tt4154756","107"
"137","tt0051201","108"
"138","tt0051201","99"
"139","tt0051201","109"
"140","tt0090605","46"
"141","tt0090605","110"
"142","tt0090605","111"
"143","tt4633694","112"
"144","tt4633694","113"
"145","tt0169547","114"
"146","tt0057012","101"
"147","tt0057012","115"
"148","tt0057012","116"
"149","tt1345836","4"
"150","tt1345836","5"
"151","tt1345836","6"
"152","tt0364569","117"
"153","tt0364569","118"
"154","tt0364569","119"
"155","tt0361748","13"
"156","tt0086879","120"
"157","tt0086879","121"
"158","tt2380307","122"
"159","tt2380307","123"
"160","tt2380307","124"
"161","tt0114709","125"
"162","tt0114709","95"
"163","tt0114709","94"
"164","tt7286456","126"
"165","tt7286456","127"
"166","tt7286456","128"
"167","tt0112573","129"
"168","tt0082096","130"
"169","tt0082096","131"
"170","tt4154796","105"
"171","tt4154796","106"
"172","tt4154796","107"
"173","tt0119698","50"
"174","tt0119698","132"
"175","tt0087843","133"
"176","tt0087843","134"
"177","tt0087843","135"
"178","tt0119217","136"
"179","tt0119217","137"
"180","tt5311514","138"
"181","tt5311514","139"
"182","tt0045152","140"
"183","tt0045152","141"
"184","tt1187043","142"
"185","tt1187043","143"
"186","tt1187043","144"
"187","tt0180093","145"
"188","tt0180093","146"
"189","tt0057565","35"
